TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22019002900,30.226765,-93.383911,2278,455,395,Calcasieu,22019,5,408,-10395449.420804378,3532731.7997158533
22019003000,30.226429,-93.363762,4630,1148,998,Calcasieu,22019,5,409,-10393206.444384385,3532688.5108672203
22019003101,30.225813,-93.337387,4892,1591,1453,Calcasieu,22019,5,410,-10390270.392814713,3532609.1483622063
22019003102,30.230654,-93.31778,2314,796,740,Calcasieu,22019,5,411,-10388087.751558729,3533232.8531356286
22019003200,30.119473,-93.378532,1952,419,376,Calcasieu,22019,5,412,-10394850.633263402,3518916.2464013905
22019003300,30.179039,-93.370636,5034,928,823,Calcasieu,22019,5,413,-10393971.654564098,3526584.4598997687
22019003400,30.12693,-93.553131,5887,1147,1067,Calcasieu,22019,5,414,-10414286.905036416,3519875.9678967493
22019003500,30.197393,-93.579414,3413,667,598,Calcasieu,22019,5,415,-10417212.715212936,3528948.19125614
22019003600,30.290194,-93.628586,4253,627,574,Calcasieu,22019,5,416,-10422686.517214222,3540906.3816674748
22019980000,30.208824,-93.143547,0,,,Calcasieu,22019,5,417,-10368692.222719343,3530420.562409063
22019980100,30.123703,-93.220161,0,,,Calcasieu,22019,5,418,-10377220.85418698,3519460.641679985
22021000100,32.128319,-92.000343,2651,542,520,Caldwell,22021,8,419,-10241431.33556651,3780166.3010866484
22021000200,32.115841,-92.220139,2911,479,437,Caldwell,22021,8,420,-10265898.91436491,3778526.1822916716
22021000300,31.994879,-92.086975,4434,692,633,Caldwell,22021,8,421,-10251075.165692912,3762638.4350871155
22023970100,29.862074,-92.925514,5070,962,882,Cameron,22023,5,422,-10344420.900183214,3485833.0339886458
22023970201,29.88978,-93.584045,1798,374,344,Cameron,22023,5,423,-10417728.2357748,3489389.943360487
22023990000,29.689611,-93.243378,0,,,Cameron,22023,5,424,-10379805.358804729,3463714.3010429516
22025000100,31.80175,-91.804176,4719,583,535,Catahoula,22025,6,425,-10219594.125016067,3737315.27453169
22025000200,31.612137,-91.843246,2143,649,581,Catahoula,22025,6,426,-10223943.377521358,3712504.5739354095
22025000300,31.477676,-91.907341,3031,601,555,Catahoula,22025,6,427,-10231078.400283754,3694941.0883740275
22027950100,32.863361,-92.860085,3147,843,744,Claiborne,22027,7,428,-10337137.377220102,3877181.433943934
22027950200,32.891529,-93.108009,4205,589,554,Claiborne,22027,7,429,-10364736.150655532,3880915.087112046
22027950300,32.975002,-93.134041,2796,589,538,Claiborne,22027,7,430,-10367634.019639863,3891986.3668633844
22027950400,32.782291,-93.061111,3251,731,643,Claiborne,22027,7,1,-10359515.48917631,3866442.260149459
22027950500,32.664955,-93.030472,2754,590,514,Claiborne,22027,7,2,-10356104.771297896,3850916.318488874
22029000100,31.68042,-91.55983,2104,523,479,Concordia,22029,6,3,-10192393.652718693,3721433.5049655903
22029000200,31.625351,-91.571358,5418,1032,887,Concordia,22029,6,4,-10193676.94380856,3714231.972572185
22029000300,31.565659,-91.508736,4002,705,622,Concordia,22029,6,5,-10186705.894656101,3706430.6895188414
22029000400,31.574221,-91.43486,4191,1127,1020,Concordia,22029,6,6,-10178482.055954259,3707549.3697455046
22029000500,31.3612,-91.676277,4306,607,571,Concordia,22029,6,7,-10205356.473463098,3679747.219061131
22031950100,32.242279,-93.751198,10469,2242,2065,De Soto,22031,7,8,-10436335.622619368,3795155.6964232656
22031950200,32.092167,-93.954201,4137,646,594,De Soto,22031,7,9,-10458933.813208874,3775415.0679031475
22031950300,32.070156,-93.614021,2889,654,596,De Soto,22031,7,10,-10421065.148830818,3772523.2194644525
22031950400,32.051701,-93.724922,2940,743,671,De Soto,22031,7,11,-10433410.591679284,3770099.101748611
22031950500,31.971491,-93.728653,1975,486,455,De Soto,22031,7,12,-10433825.924699433,3759568.959376462
22031950600,32.007614,-93.661232,2714,636,586,De Soto,22031,7,13,-10426320.65331066,3764310.124463664
22031950700,31.917665,-93.727119,2092,511,463,De Soto,22031,7,14,-10433655.160600556,3752507.72473516
22033000100,30.504429,-91.160919,1764,337,302,East Baton Rouge,22033,2,15,-10147987.08332686,3568555.6803601873
22033000200,30.498356,-91.137726,6207,1726,1559,East Baton Rouge,22033,2,16,-10145405.25037689,3567771.058648526
22033000300,30.49412,-91.162262,1630,440,382,East Baton Rouge,22033,2,17,-10148136.585402993,3567223.803345689
22033000400,30.492685,-91.148567,2696,790,710,East Baton Rouge,22033,2,18,-10146612.064976579,3567038.4189095115
22033000500,30.479147,-91.162704,3766,880,771,East Baton Rouge,22033,2,19,-10148185.788617924,3565289.6095526465
22033000601,30.48303,-91.148651,2796,866,776,East Baton Rouge,22033,2,20,-10146621.415813806,3565791.182156915
22033000602,30.472036,-91.148155,4388,1400,1263,East Baton Rouge,22033,2,21,-10146566.201346371,3564371.1234835973
22033000701,30.483507,-91.129181,2314,523,448,East Baton Rouge,22033,2,22,-10144454.02532806,3565852.7983017764
22033000702,30.475029,-91.125931,3240,999,917,East Baton Rouge,22033,2,23,-10144092.236982983,3564757.703524398
22033000900,30.461876,-91.161339,3797,1254,1119,East Baton Rouge,22033,2,24,-10148033.83751299,3563058.932373639
22033001000,30.459555,-91.147285,3442,1021,915,East Baton Rouge,22033,2,25,-10146469.35338938,3562759.1882347455
22033001102,30.461426,-91.108963,3464,1003,902,East Baton Rouge,22033,2,26,-10142203.367863202,3563000.816838195
22033001103,30.460592,-91.13382,3328,840,762,East Baton Rouge,22033,2,27,-10144970.43644585,3562893.1100889724
22033001104,30.460154,-91.121674,4661,880,693,East Baton Rouge,22033,2,28,-10143618.349910675,3562836.5450431895
22033001600,30.445778,-91.160675,3318,1539,1421,East Baton Rouge,22033,2,29,-10147959.921371104,3560980.1128791934
22033001700,30.442326,-91.145691,5572,2592,2333,East Baton Rouge,22033,2,30,-10146291.910121057,3560534.382651584
22033001800,30.448124,-91.125404,2405,1006,928,East Baton Rouge,22033,2,31,-10144033.571611334,3561283.042836333
22033001900,30.439981,-91.124428,2760,1483,1377,East Baton Rouge,22033,2,32,-10143924.92378832,3560231.5998275625
22033002000,30.440615,-91.098915,3419,1982,1845,East Baton Rouge,22033,2,33,-10141084.829619711,3560313.460222464
22033002200,30.435791,-91.174011,1394,415,364,East Baton Rouge,22033,2,34,-10149444.478100322,3559690.6115464875
22033002300,30.432878,-91.159042,2444,1601,1489,East Baton Rouge,22033,2,35,-10147778.136642639,3559314.5157301035
22033002400,30.425745,-91.190491,2468,786,696,East Baton Rouge,22033,2,36,-10151279.023308596,3558393.625477489
22033002500,30.425821,-91.174561,2825,985,885,East Baton Rouge,22033,2,37,-10149505.703820258,3558403.436935172
22033002601,30.416761,-91.156532,4301,2281,2109,East Baton Rouge,22033,2,38,-10147498.724720748,3557233.8617477925
22033002602,30.402653,-91.130836,4444,2056,1900,East Baton Rouge,22033,2,39,-10144638.259085324,3555412.845362288
22033002700,30.425882,-91.144981,1726,675,609,East Baton Rouge,22033,2,40,-10146212.873282595,3558411.3119264743
22033002801,30.41287,-91.18988,2470,351,311,East Baton Rouge,22033,2,41,-10151211.007099722,3556731.597389588
22033002802,30.412266,-91.17083,3836,452,417,East Baton Rouge,22033,2,42,-10149090.37080011,3556653.632679529
22033003000,30.521088,-91.216515,4516,752,675,East Baton Rouge,22033,2,43,-10154176.001737,3570708.247632969
22033003101,30.5334,-91.178467,4096,1013,904,East Baton Rouge,22033,2,44,-10149940.517751297,3572299.3610510835
22033003103,30.534283,-91.15992,1277,243,220,East Baton Rouge,22033,2,45,-10147875.875155555,3572413.4813042847
22033003201,30.5403,-91.126099,4481,1360,1232,East Baton Rouge,22033,2,46,-10144110.938657437,3573191.155091405
22033003202,30.569815,-91.111435,3526,1590,1464,East Baton Rouge,22033,2,47,-10142478.549644444,3577006.55191481
22033003300,30.515873,-91.163979,4885,1550,1391,East Baton Rouge,22033,2,48,-10148327.720968684,3570034.359700659
22033003400,30.515333,-91.134949,7019,2177,1948,East Baton Rouge,22033,2,49,-10145096.116150957,3569964.582383139
22033003501,30.509468,-91.087418,3043,958,876,East Baton Rouge,22033,2,50,-10139804.989434062,3569206.7481494066
22033003504,30.508047,-91.110847,5859,2203,1994,East Baton Rouge,22033,2,51,-10142413.093783857,3569023.143358822
22033003505,30.491964,-91.106689,4001,1263,1111,East Baton Rouge,22033,2,52,-10141950.22734114,3566945.275566253
22033003506,30.479649,-91.079903,7334,2617,2403,East Baton Rouge,22033,2,53,-10138968.42346075,3565354.4524768637
22033003507,30.486652,-91.04586,4623,2177,1996,East Baton Rouge,22033,2,54,-10135178.774035674,3566259.0590592823
