"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US22093040600","Census Tract 406, St. James Parish, Louisiana","2559","330","600","132","1743","266","0","13","0","13","43","83","173","174","0","13","0","13","0","13"
"1400000US22093040700","Census Tract 407, St. James Parish, Louisiana","3392","350","2136","228","1201","296","0","13","0","13","0","13","9","14","46","74","46","74","0","13"
"1400000US22095070100","Census Tract 701, St. John the Baptist Parish, Louisiana","2649","257","1649","166","903","161","0","13","6","9","0","13","80","117","11","18","0","13","11","18"
"1400000US22095070200","Census Tract 702, St. John the Baptist Parish, Louisiana","7064","695","1180","416","5343","744","0","18","258","242","0","18","73","90","210","171","172","160","38","73"
"1400000US22095070300","Census Tract 703, St. John the Baptist Parish, Louisiana","6116","668","2901","478","2506","498","0","18","135","195","0","18","524","417","50","54","0","18","50","54"
"1400000US22095070400","Census Tract 704, St. John the Baptist Parish, Louisiana","4103","438","2521","215","1448","396","0","13","70","115","0","13","23","40","41","71","20","34","21","58"
"1400000US22095070500","Census Tract 705, St. John the Baptist Parish, Louisiana","6348","519","1228","345","4600","563","0","18","0","18","0","18","205","99","315","222","54","58","261","213"
"1400000US22095070600","Census Tract 706, St. John the Baptist Parish, Louisiana","2155","473","985","321","1170","367","0","13","0","13","0","13","0","13","0","13","0","13","0","13"
"1400000US22095070700","Census Tract 707, St. John the Baptist Parish, Louisiana","4000","442","2432","360","1424","352","0","13","0","13","0","13","144","181","0","13","0","13","0","13"
"1400000US22095070800","Census Tract 708, St. John the Baptist Parish, Louisiana","1708","278","143","87","1559","283","0","13","0","13","0","13","2","4","4","7","4","7","0","13"
"1400000US22095070900","Census Tract 709, St. John the Baptist Parish, Louisiana","3302","414","1160","256","2076","408","0","13","13","27","0","13","53","78","0","13","0","13","0","13"
"1400000US22095071000","Census Tract 710, St. John the Baptist Parish, Louisiana","2462","361","1872","336","531","220","0","13","0","13","0","13","59","81","0","13","0","13","0","13"
"1400000US22095071100","Census Tract 711, St. John the Baptist Parish, Louisiana","3335","537","430","173","2873","541","0","13","0","13","0","13","0","13","32","35","10","17","22","32"
"1400000US22097960100","Census Tract 9601, St. Landry Parish, Louisiana","2756","334","1608","272","757","217","0","13","0","13","0","13","32","48","359","164","72","96","287","132"
